0;Labels
List of culinary nuts;['Category:All articles with unsourced statements', 'Category:Articles containing Dutch-language text', 'Category:Articles containing Greek-language text', 'Category:Articles containing Hindi-language text', 'Category:Articles with unsourced statements from September 2017', 'Category:CS1 maint: Multiple names: authors list', 'Category:Edible nuts and seeds', 'Category:Featured lists', 'Category:Lists of plants']
List of vegetable oils;['Category:All articles with unsourced statements', 'Category:Articles with unsourced statements from March 2019', 'Category:CS1 maint: Uses authors parameter', 'Category:CS1: Julian–Gregorian uncertainty', 'Category:Chemistry-related lists', 'Category:Cooking fats', 'Category:Featured lists', 'Category:Lists of foods', 'Category:Vegetable oils', 'Category:Webarchive template wayback links']
Works of Keith Floyd;['Category:Bibliographies by writer', 'Category:Bibliographies of British writers', 'Category:Featured lists', 'Category:Use British English from December 2015', 'Category:Use dmy dates from December 2015']
File:A Meat Stall with the Holy Family Giving Alms - Pieter Aertsen - Google Cultural Institute.jpg;['Category:DYK images', 'Category:Featured pictures', 'Category:Featured pictures of the Netherlands', 'Category:Wikipedia Picture of the day files']
File:Actinidia chinensis - Austins Ferry.jpg;['Category:Featured pictures', 'Category:Picture of the day/Unused']
File:Adansonia grandidieri04.jpg;['Category:Featured pictures', 'Category:Featured pictures of Madagascar', 'Category:Wikipedia Picture of the day files']
File:Alaska wild berries.jpg;['Category:Featured pictures', 'Category:Featured pictures of Alaska', 'Category:Wikipedia Picture of the day files']
File:Amanita caesarea 54730.jpg;['Category:Featured pictures', 'Category:Featured pictures of Ohio', 'Category:Picture of the day/Unused']
File:Apple mango and cross section edit1.jpg;['Category:Featured pictures', 'Category:Featured pictures of Tanzania', 'Category:Wikipedia Picture of the day files']
File:Apricot and cross section.jpg;['Category:Featured pictures', 'Category:Wikipedia Picture of the day files']
File:Apricots.jpg;['Category:Featured pictures', 'Category:Featured pictures of Australia', 'Category:Wikipedia Picture of the day files']
File:Avocado with cross section edit.jpg;['Category:Featured pictures', 'Category:Featured pictures of Tanzania', 'Category:Featured pictures promoted through delist', 'Category:Wikipedia Picture of the day files']
File:Baobab Adansonia digitata.jpg;['Category:Featured pictures', 'Category:Wikipedia Picture of the day files']
File:Black Pepper (Piper nigrum) fruits.jpg;['Category:Featured pictures', 'Category:Wikipedia Picture of the day files']
File:Bright red tomato and cross section02.jpg;['Category:Featured pictures', 'Category:Wikipedia Picture of the day files']
File:Broccoli and cross section edit.jpg;['Category:Featured pictures', 'Category:Wikipedia Picture of the day files']
File:Buckwheat and products from it 01.jpg;['Category:Featured pictures', 'Category:Wikipedia Picture of the day files']
File:Bûche de Noël chocolat framboise maison.jpg;['Category:Featured pictures', 'Category:Wikipedia Picture of the day files']
File:Canteloupe and cross section.jpg;['Category:Featured pictures', 'Category:Wikipedia Picture of the day files']
File:Carambola Starfruit.jpg;['Category:Featured pictures', 'Category:Wikipedia Picture of the day files']
File:Carrots of many colors.jpg;['Category:Featured pictures', 'Category:Wikipedia Picture of the day files']
File:Cheese limburger edit.jpg;['Category:Featured pictures', 'Category:Wikipedia Picture of the day files']
File:Chestnuts.jpg;['Category:Featured pictures', 'Category:Featured pictures of Australia', 'Category:Wikipedia Picture of the day files']
File:Chicken Egg without Eggshell 5859.jpg;['Category:Featured pictures', 'Category:Wikipedia Picture of the day files']
File:Chocolatebrownie.JPG;['Category:Featured pictures', 'Category:Wikipedia Picture of the day files']
File:Citrus paradisi (Grapefruit, pink) white bg.jpg;['Category:Featured pictures', 'Category:Wikipedia Picture of the day files']
File:Cocacola-5cents-1900 edit1.jpg;['Category:Coca-Cola', 'Category:Featured pictures', 'Category:Wikipedia Picture of the day files']
File:Coulommiers lait cru.jpg;['Category:Featured pictures', 'Category:Wikipedia Picture of the day files']
File:Cowgirl Creamery Point Reyes - Red Hawk cheese.jpg;['Category:Featured pictures', 'Category:Wikipedia Picture of the day files']
File:Curcuma longa roots.jpg;['Category:Featured pictures', 'Category:Wikipedia Picture of the day files']
File:DO & CO Catering - 8968355090.jpg;['Category:Featured pictures', 'Category:Wikipedia Picture of the day files']
File:Dominostein edelherb.jpg;['Category:Featured pictures', 'Category:Wikipedia Picture of the day files']
File:Egyptian food Koshary.jpg;['Category:Featured pictures', 'Category:Wikipedia Picture of the day files']
File:Encephalartos sclavoi reproductive cone.jpg;['Category:Featured pictures', 'Category:Featured pictures of Tanzania', 'Category:Wikipedia Picture of the day files']
File:English Walnuts.jpg;['Category:Featured pictures', 'Category:Wikipedia Picture of the day files']
File:Flaming cocktails.jpg;['Category:Distilled drinks', 'Category:Featured pictures', 'Category:Wikipedia Picture of the day files']
File:Fractal Broccoli.jpg;['Category:Featured pictures on Mathematics Portal', 'Category:Wikipedia Picture of the day files', 'Category:Wikipedia former featured pictures']
File:Fuyu Persimmon (Diospyros Kaki).jpg;['Category:Featured pictures', 'Category:Wikipedia Picture of the day files']
File:GEM corn.jpg;['Category:Featured pictures', 'Category:Wikipedia Picture of the day files']
File:Granny smith and cross section.jpg;['Category:Featured pictures', 'Category:Wikipedia Picture of the day files']
File:Hazelnuts.jpg;['Category:Featured pictures', 'Category:Featured pictures of Australia', 'Category:Wikipedia Picture of the day files']
File:Horse Gram BNC.jpg;['Category:Featured pictures']
File:Illustration Punica granatum2.jpg;['Category:Featured pictures', 'Category:Wikipedia Picture of the day files']
File:India - Varanasi green peas - 2714.jpg;['Category:Featured pictures', 'Category:Wikipedia Picture of the day files']
File:Iran saffron threads.jpg;['Category:Featured pictures', 'Category:Wikipedia Picture of the day files']
File:Kifli made with spelt flour (Serbian cuisine).jpg;['Category:Featured pictures', 'Category:Wikipedia Picture of the day files']
File:Kue gapit, 2015-06-16.jpg;['Category:Featured pictures', 'Category:Featured pictures of Indonesia', 'Category:Wikipedia Picture of the day files']
File:Lemon-edit1.jpg;['Category:Featured pictures', 'Category:Wikipedia Picture of the day files']
File:Leptecophylla juniperina.jpg;['Category:Featured pictures', 'Category:Wikipedia Picture of the day files']
File:Mango and cross section edit.jpg;['Category:Featured pictures', 'Category:National symbols of Pakistan', 'Category:Wikipedia Picture of the day files']
File:Mangosteen scale v2.jpg;['Category:Featured pictures', 'Category:Wikipedia Picture of the day files']
File:Maquereau fumé Luc Viatour edit.jpg;['Category:Featured pictures', 'Category:Wikipedia Picture of the day files']
File:MeyerLemon.jpg;['Category:Featured pictures', 'Category:Wikipedia Picture of the day files']
File:Nectarine Fruit Development.jpg;['Category:Featured pictures', 'Category:Wikipedia Picture of the day files']
File:Orange and cross section.jpg;['Category:Featured pictures', 'Category:Wikipedia Picture of the day files']
File:Pachira aquatica (fruit) edit1.jpg;['Category:Featured pictures', 'Category:Wikipedia Picture of the day files']
File:Papaver April 2010-9.jpg;['Category:Featured picture sets', 'Category:Featured pictures', 'Category:Opium poppy development (featured picture set)', 'Category:Wikipedia Picture of the day files']
File:Passionfruit and cross section.jpg;['Category:Featured pictures', 'Category:Wikipedia Picture of the day files']
File:Pecans.jpg;['Category:Featured pictures', 'Category:Wikipedia Picture of the day files']
File:Pink lady and cross section.jpg;['Category:Featured pictures', 'Category:Wikipedia Picture of the day files']
File:Pistachio macro whitebackground NS.jpg;['Category:Featured pictures', 'Category:Wikipedia Picture of the day files']
File:Pitaya cross section ed2.jpg;['Category:Featured pictures', 'Category:Wikipedia Picture of the day files']
File:Plums.jpg;['Category:Featured pictures', 'Category:Wikipedia Picture of the day files']
File:Pomegranate03 edit.jpg;['Category:Featured pictures', 'Category:Wikipedia Picture of the day files']
File:Pomegranate Juice (2019).jpg;['Category:Featured pictures']
File:Pulsatilla alpina fruit.JPG;['Category:Featured pictures', 'Category:Wikipedia Picture of the day files']
File:Rambutan white background alt.jpg;['Category:Featured pictures', 'Category:Featured pictures of Tanzania', 'Category:Wikipedia Picture of the day files']
File:Raspberries05.jpg;['Category:Featured pictures', 'Category:Wikipedia Picture of the day files']
File:Red capsicum and cross section.jpg;['Category:Featured pictures', 'Category:Wikipedia Picture of the day files']
File:Roasted coffee beans.jpg;['Category:Featured pictures', 'Category:Wikipedia Picture of the day files']
File:Russet potato cultivar with sprouts.jpg;['Category:Featured pictures', 'Category:Wikipedia Picture of the day files']
File:Salad platter.jpg;['Category:Featured pictures', 'Category:Wikipedia Picture of the day files']
File:Senf-Variationen edit2.jpg;['Category:Featured pictures', 'Category:Wikipedia Picture of the day files']
File:Soursop, Annona muricata.jpg;['Category:Featured pictures', 'Category:Wikipedia Picture of the day files']
File:Sugar apple with cross section.jpg;['Category:Featured pictures', 'Category:Featured pictures of Tanzania', 'Category:Wikipedia Picture of the day files']
File:Syzygium fruit.jpg;['Category:Featured pictures', 'Category:Wikipedia Picture of the day files']
File:Tastee-Candy-Apple-Red-Caramel-wPeanuts.jpg;['Category:Featured pictures', 'Category:Wikipedia Picture of the day files']
File:White nectarine and cross section02 edit.jpg;['Category:Featured pictures', 'Category:Wikipedia Picture of the day files']
File:White peach and cross section edit.jpg;['Category:Featured pictures', 'Category:Wikipedia Picture of the day files']
